instrument,gate_median_ms,tau_ms,policy,rejection_mode,timeout_rate,baseline_pnl_bps,gated_pnl_bps,net_impact_bps,n_foregone,bps_foregone,n_avoided,bps_avoided,n_scaled_timeout,bps_scaled_timeout_repricing_impact,covid_net_impact_bps,own_stress_net_impact_bps,rest_net_impact_bps
USDJPY,150.0,100.0,H,informed,0.6570327552986512,1537.8920685589342,-213.9538578566748,-1751.845926415609,209,15307.168998648205,481,13555.395763813096,,,-865.7529561521817,-388.3028382862076,-497.79013197721974
USDJPY,150.0,100.0,S,uninformed,0.6570327552986512,1537.8920685589342,383.2692629225412,-1154.622805636393,1,16.151067256555805,2,49.31764522639949,682.0,-0.05179548157504257,-432.87010101815696,-194.17384163835345,-527.5788629798825
USDJPY,150.0,100.0,S,informed,0.6570327552986512,1537.8920685589342,973.6599533068759,-564.2321152520578,0,0.0,8,623.557978455141,682.0,-0.05179548157504257,-432.87010101815696,-194.17384163835345,62.81182740445229
USDJPY,150.0,250.0,H,uninformed,0.3304431599229287,1537.8920685589342,-630.9764607265234,-2168.868529285457,113,8585.183470964248,242,6416.764292815869,,,-753.874915212943,-207.43234648353274,-1207.561267588982
USDJPY,150.0,250.0,H,informed,0.3304431599229287,1537.8920685589342,445.59334868848674,-1092.2987198704475,112,8569.032403707692,248,7477.140115023404,,,-485.48903774310014,-172.65301128440774,-434.15667084293943
USDJPY,150.0,250.0,S,uninformed,0.3304431599229287,1537.8920685589342,589.060158581581,-948.831909977353,1,16.151067256555805,11,287.5424506206647,343.0,0.13133855186106563,-376.92620088688983,-84.78894385396107,-487.1167652365022
USDJPY,150.0,250.0,S,informed,0.3304431599229287,1537.8920685589342,1665.629967996591,127.73789943765706,0,0.0,17,1347.9182728281983,343.0,0.13133855186106563,-108.5403234170469,-50.00960865483608,286.2878315095399
XAUUSD,30.0,10.0,H,uninformed,0.8802681992337165,24.64256975050199,993.3726747210201,968.7301049705176,238,34979.63849086244,683,35948.37187651648,,,-1487.1745135403712,2203.304997455433,252.59962105545628
XAUUSD,30.0,10.0,H,informed,0.8802681992337165,24.64256975050199,1193.596592691134,1168.9540229406316,238,34979.63849086244,683,36148.5962901651,,,-1487.1745135403712,2342.421432086874,313.70710439412915
XAUUSD,30.0,10.0,S,uninformed,0.8802681992337165,24.64256975050199,547.4640694056309,522.8214996551291,0,0.0,2,76.92030872036645,919.0,-0.002066848550604926,-743.5893426018149,1101.6508144095685,164.76002784737568
